sampleid,program,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,program_county,state_county,statefips,countyfips_3,countyfips
"300382","sjf6c","Suffolk County","Suffolk County","NY","New York","25jul2022","cotton","cotton","taken","heroin; fentanyl; Unknown",1,1,0,0,0,0,0,0,0,"white",0,"powder; pill",,1,1,,,"","weaker; weird","weaker",1,,,1,,,,1,,,"drowsy, fast heartbeat, not usual warmth","not overdose related",0,,,1,"29jul2022",8,5,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300880","sjf6c","Rocky Point","Suffolk County","NY","New York","25nov2022","spatula","spatula","taken","unknown",0,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","weird","",1,,,,,,1,,,,"burning, numbing","not overdose related",0,,,1,"02dec2022",9,3,,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300885","u3fyp","Albany","Albany County","NY","New York","16nov2022","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"pink",1,"powder; chunky",,,1,,,"","normal","normal",,,,,,,,,,,"","unknown",,,,1,"21nov2022",11,5,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,"Albany County","NY | ALBANY COUNTY",36,1,36001
"300887","u3fyp","Schenectady","Schenectady County","NY","New York","16nov2022","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"tan",0,"powder; flaky",,,1,,,"","normal","normal",,,,,,,,,,,"","unknown",,,,1,"21nov2022",5,3,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Albany County","NY | SCHENECTADY COUNTY",36,93,36093
"300902","sjf6c","Suffolk County","Suffolk County","NY","New York","02dec2022","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"brown; gray",0,"powder; shiny",,,1,,,"shiny","more up","",,,1,,,,,,,,"chest pains, heart racing, clenching teeth, sweaty","not overdose related",0,,,1,"06jan2023",5,2,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300916","sjf6c","Suffolk County","Suffolk County","NY","New York","09dec2022","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"beige",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"05jan2023",8,1,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300920","sjf6c","Suffolk County","Suffolk County","NY","New York","22jan2023","cotton","cotton","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","more down","",,,,1,,,,,,,"did fent test was positive","unknown",,,,1,"07feb2023",8,3,,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300921","sjf6c","Suffolk County","Suffolk County","NY","New York","09jan2023","cotton","cotton","taken","heroin",1,0,0,0,0,0,0,0,0,"white",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"13jan2023",17,5,,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300926","sjf6c","Patchogue","Suffolk County","NY","New York","24jan2023","cotton","cotton","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"06feb2023",8,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300931","sjf6c","Islip","Suffolk County","NY","New York","27jan2023","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"brown",0,"powder",,,1,,,"","more up; stronger; normal","stronger",,,1,,,,,,,,"","not overdose related",0,,,1,"06feb2023",9,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300934","sjf6c","Shirley","Suffolk County","NY","New York","03feb2023","spatula","spatula","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"crystals",,,,,1,"","weird","",1,,,,,,,,,,"","not overdose related",0,,,1,"17mar2023",6,2,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300935","sjf6c","Suffolk County","Suffolk County","NY","New York","28jan2023","pill","pill","taken","oxycodone",0,0,0,0,0,0,0,0,0,"brown",0,"powder; chunky",,1,1,,,"","weird; unpleasant","",1,,,,,,,1,,,"person had out of ordinary wounds","not overdose related",0,,,1,"07feb2023",10,7,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300937","sjf6c","Oceanside","Nassau County","NY","New York","27jan2023","unknown","unknown","taken","fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"light purple",1,"powder; dull",,,1,,,"dull","weird; stronger; more down","stronger",1,,,1,,,,,,,"","not overdose related",0,,,1,"06feb2023",5,2,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | NASSAU COUNTY",36,59,36059
"300938","sjf6c","Ronkonkoma","Suffolk County","NY","New York","07feb2023","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"brown; blue",0,"powder; pill; chunky",,1,1,,,"","stronger","stronger",,,,,,,,,,,"very strong","involved in OD",1,,,1,"16mar2023",10,8,,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300940","sjf6c","Merrick","Nassau County","NY","New York","01feb2023","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,1,,,,,,,"knocks people out, causes open sores","unknown",,,,1,"17mar2023",7,7,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | NASSAU COUNTY",36,59,36059
"300947","sjf6c","Shirley","Suffolk County","NY","New York","14mar2023","pill","pill","taken","amphetamine",0,0,0,1,0,0,0,0,0,"peach",1,"pill",,1,,,,"","weird","",1,,,,,,,,,,"","not overdose related",0,,,1,"24mar2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300948","sjf6c","Suffolk County","Suffolk County","NY","New York","03feb2023","spatula","spatula","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"17mar2023",5,2,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300949","sjf6c","Islip","Suffolk County","NY","New York","06feb2023","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"","involved in OD",1,,,1,"16mar2023",5,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300951","sjf6c","Farmingdale","Nassau County","NY","New York","13feb2023","cotton","cotton","taken","heroin; cocaine",1,0,0,1,0,0,1,0,0,"peach",1,"powder",,,1,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"17mar2023",18,8,,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,"Suffolk County","NY | NASSAU COUNTY",36,59,36059
"300958","sjf6c","Nassau County","Nassau County","NY","New York","07feb2023","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"beige",0,"crystals; powder; chunky",,,1,,1,"","nice; stronger","stronger",,,,1,1,,,,,,"tired like tranquilizer","unknown",,,,1,"16mar2023",14,5,,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,"Suffolk County","NY | NASSAU COUNTY",36,59,36059
"300960","sjf6c","Holbrook Ronkonkoma","Suffolk County","NY","New York","07feb2023","spatula","spatula","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"crystals; flaky; shiny",,,,,1,"shiny","more down","",1,,,1,,,,,,,"nodding, very sleepy","not overdose related",0,,,1,"17mar2023",3,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300961","sjf6c","Mastic","Suffolk County","NY","New York","14feb2023","spatula","spatula","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals; powder",,,1,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"23mar2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"300964","sjf6c","Middle Island","Suffolk County","NY","New York","13mar2023","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"powder",,,1,,,"","","",,,,,,,,,,,"date rape drug, felt out of it","unknown",,,,1,"27mar2023",2,2,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600514","sjf6c","Suffolk County","Suffolk County","NY","New York","20sep2024","cotton","cotton","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","weird","",1,,,,,,,,,,"","not overdose related",0,,,1,"07oct2024",7,7,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600528","sjf6c","Suffolk","Suffolk County","NY","New York","10sep2024","swab","swab","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","weird","",1,,,,,,,,,,"vision affected poorly","involved in OD",1,,,1,"24sep2024",4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600539","sjf6c","Suffolk","Suffolk County","NY","New York","30sep2024","spatula","spatula","unused","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"09oct2024",2,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600541","sjf6c","Suffolk","Suffolk County","NY","New York","11sep2024","spatula","spatula","taken","crack",0,0,0,1,0,0,1,0,0,"white",0,"powder; chunky",,,1,,,"","weird","",1,,,,,,,,,,"","not overdose related",0,,,1,"19sep2024",1,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600551","sjf6c","Suffolk county","Suffolk County","NY","New York","06nov2024","swab","swab","taken","crack",0,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,"","nice; normal","normal",,,,,1,,,,,,"","not overdose related",0,,,1,"19nov2024",1,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600555","sjf6c","Nassau County","Nassau County","NY","New York","01oct2024","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"off-white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"16oct2024",9,5,,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | NASSAU COUNTY",36,59,36059
"600557","sjf6c","Suffolk","Suffolk County","NY","New York","01oct2024","pill","pill","taken","benzodiazepine",0,0,0,0,1,0,0,0,0,"yellow",1,"pill",,1,,,,"","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,1,"11oct2024",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600559","sjf6c","Suffolk","Suffolk County","NY","New York","01oct2024","spatula","spatula","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"14oct2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600562","sjf6c","Suffolk","Suffolk County","NY","New York","03oct2024","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"16oct2024",6,3,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600564","sjf6c","Suffolk","Suffolk County","NY","New York","03oct2024","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"purple",1,"shiny",,,,,,"shiny","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"11oct2024",8,4,,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600565","sjf6c","Suffolk","Suffolk County","NY","New York","04oct2024","pill","pill","taken","benzodiazepine",0,0,0,0,1,0,0,0,0,"yellow",1,"pill",,1,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"11oct2024",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
"600569","sjf6c","Suffolk","Suffolk County","NY","New York","03oct2024","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"11oct2024",6,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"Suffolk County","NY | SUFFOLK COUNTY",36,103,36103
