sampleid,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,state_county,statefips,countyfips_3,countyfips
"300748","Gresham","Multnomah County","OR","Oregon","28sep2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300750","Portland","Multnomah County","OR","Oregon","20jan2023","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder; clumpy",,,1,,,"","weird","",1,,,,,,,,,,"After cooking sample for injection the substance would crystalize in the syringe as it cooled. Client had to inject substance while still hot","not overdose related",0,,,0,"27jan2023",4,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300752","Portland","Multnomah County","OR","Oregon","11jan2023","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"brown",0,"sticky; oil/wax; tar",1,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"27jan2023",4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300755","Portland","Multnomah County","OR","Oregon","26oct2022","spatula","spatula","taken","fentanyl; xylazine",1,1,1,0,0,0,0,0,0,"white",0,"powder; clumpy",,,1,,,"","weaker; stronger","weaker",,,,,,,,,,,"1 person thought it was very strong 1 person said it didn't touch them","not overdose related",0,,,1,"06jan2023",6,2,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300756","Portland","Multnomah County","OR","Oregon","10feb2023","spatula","spatula","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"clumpy",,,,,,"","weaker; weird","weaker",1,,,,,,,,,,"","not overdose related",0,,,0,"17mar2023",2,1,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300760","Portland","Multnomah County","OR","Oregon","23sep2022","spatula; swab","multiple methods","unused","MDMA",0,0,0,0,0,0,0,0,1,"gray; purple; blue",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",2,1,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300764","Portland","Multnomah County","OR","Oregon","04nov2022","pill","pill","taken","MDMA",0,0,0,0,0,0,0,0,1,"pink",1,"fake pill; crumbly",,1,,,,"","nice; normal","normal",,,,,1,,,,,,"","not overdose related",0,,,1,"05jan2023",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300766","Portland","Multnomah County","OR","Oregon","20jan2023","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"dark brown",0,"paste; sticky",,,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"27jan2023",4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300768","Portland","Multnomah County","OR","Oregon","10feb2023","pill","pill","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"pink; orange",1,"pill; fake pill; grainy",,1,,,,"","long; weird; more up; stronger","stronger",1,,1,,,1,,,,,"","not overdose related",0,,,0,"23mar2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300788","Portland","Multnomah County","OR","Oregon","28sep2022","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"sticky; tar",1,,,,,"","","",,,,,,,,,,,"","unknown",,,,1,"05oct2022",8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300790","Multnomah County","Multnomah County","OR","Oregon","23sep2022","pill","pill","taken","benzodiazepine",0,0,0,0,1,0,0,0,0,"green",1,"fake pill",,1,,,,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,1,"06oct2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300791","Portland","Multnomah County","OR","Oregon","15mar2023","spatula","spatula","taken","fluorexetamine (FXE)",0,0,0,0,0,0,0,0,0,"clear; opaque",0,"crystals",,,,,1,"","more up","",,,1,,,,,,,,"","not overdose related",0,,,0,"04jul2023",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300796","Portland","Multnomah County","OR","Oregon","28dec2022","pill","pill","unused","benzodiazepine",0,0,0,0,1,0,0,0,0,"white",0,"pill",,1,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,1,"06jan2023",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300798","Portland","Multnomah County","OR","Oregon","15feb2023","spatula","spatula","taken","fentanyl",1,1,0,0,0,0,0,0,0,"off-white",0,"powder",,,1,,,"","stronger","stronger",,,,,,,,,,,"","unknown",,,,0,"31mar2023",6,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300799","Portland","Multnomah County","OR","Oregon","11jan2023","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"sticky; tar",1,,,,,"","weird","",1,,,,,,,,,,"","not overdose related",0,,,0,"27jan2023",6,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300813","Portland","Multnomah County","OR","Oregon","27oct2022","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"13nov2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300836","Portland","Multnomah County","OR","Oregon","06nov2022","pill","pill","taken","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"fake pill",,1,,,,"","long; nice; stronger","stronger",,,,,1,1,,,,,"strong blues","not overdose related",0,,,0,"14nov2022",7,3,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300856","Portland","Multnomah County","OR","Oregon","27oct2022","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"black",0,"sticky",,,,,,"","weaker","weaker",,,,,,,,,,,"","not overdose related",0,,,0,"13nov2022",3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300877","Portland","Multnomah County","OR","Oregon","27oct2022","pill","pill","unused","benzodiazepine",0,0,0,0,1,0,0,0,0,"green",1,"fake pill",,1,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"14nov2022",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"300897","Portland","Multnomah County","OR","Oregon","21oct2022","unknown","unknown","taken","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,,"new batch","not overdose related",0,,,0,"13nov2022",3,2,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"OR | MULTNOMAH COUNTY",41,51,41051
"500088","Bend","Deschutes County","OR","Oregon","10aug2023","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals; shiny",,,,,1,"shiny","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"21aug2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"500428","Bend","Deschutes County","OR","Oregon","12jul2023","pill","pill","unused","fentanyl",1,1,0,0,0,0,0,0,0,"blue",1,"pill",,1,,,,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"21aug2023",5,3,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"500600","Bend","Deschutes County","OR","Oregon","19jul2023","unknown","unknown","unused","unknown",0,0,0,0,0,0,0,0,0,"orange",1,"crystals; flaky; chunky",,,,,1,"","","",,,,,,,,,,,"","unknown",,,,0,"23aug2023",6,5,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"500768","Bend","Deschutes County","OR","Oregon","10aug2023","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals; powder; flaky; dull",,,1,,1,"dull","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"21aug2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"500958","Bend","Deschutes County","OR","Oregon","12jul2023","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","sedating; stronger","stronger",,,,,,,,,,,"Aggressive, ""flash & crash""","not overdose related",0,,,0,"21aug2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600123","Deschutes","Deschutes County","OR","Oregon","29dec2023","swab; spatula","multiple methods","taken","fentanyl",1,1,0,0,0,0,0,0,0,"golden; yellow",1,"powder",,,1,,,"","sedating; stronger; more down","stronger",,,,1,,1,,,,,"Very sedating, lasted a long time!","unknown",,,,0,"17jan2024",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600143","Bend","Deschutes County","OR","Oregon","04jan2024","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear; white",0,"crystals; shiny; chunky",,,,,1,"shiny","normal","normal",,,,,,,,,,,"nauseous, migraine","not overdose related",0,,,0,"23feb2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600162","Bend","Deschutes County","OR","Oregon","02nov2023","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear; white",0,"crystals; powder",,,1,,1,"","weird; sedating; unusual taste","",1,,,1,,,,,,,"used it and immediately passed out - tasted bitter","not overdose related",0,,,0,"09nov2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600172","Bend","Deschutes County","OR","Oregon","13sep2023","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"cloudy",0,"crystals; dull",,,,,1,"dull","weird","",1,,,,,,,,,,"","not overdose related",0,,,0,"09nov2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600192","Bend","Deschutes County","OR","Oregon","20dec2023","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear; white",0,"crystals; powder",,,1,,1,"","weaker; weird; unpleasant; unusual taste","weaker",1,,,,,,,,,,"Tasted like antiseptic, smoked weird, just stayed liquid in pipe wouldn't break down in water","not overdose related",0,,,0,"14jan2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600196","Bend","Deschutes County","OR","Oregon","13oct2023","unknown","unknown","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals; shiny",,,,,1,"shiny","normal","normal",,,,,,,,,,,"","not overdose related",0,,,0,"09nov2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600197","Bend","Deschutes County","OR","Oregon","06sep2023","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals; powder",,,1,,1,"","stronger; normal","stronger",,,,,,,,,,,"said it felt pretty normal but stronger. Cotton ball was dirty after swab.","not overdose related",0,,,0,"09nov2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600207","Bend","Deschutes County","OR","Oregon","07sep2023","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals; shiny; chunky",,,,,1,"shiny","weird","",1,,,1,,,,,,,"made sleepy","not overdose related",0,,,0,"09nov2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600276","Bend","Deschutes County","OR","Oregon","30nov2023","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","","",,,,,,,1,1,,,"Rash on skin, looked like chemical burn. Delayed rush","not overdose related",0,,,0,"14jan2024",2,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600297","Bend","Deschutes County","OR","Oregon","25oct2023","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,,"tastes funny","not overdose related",0,,,0,"09nov2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600607","Bend","Deschutes County","OR","Oregon","29feb2024","spatula","spatula","taken","ketamine",0,0,0,0,0,0,0,0,1,"white",0,"crystals; chunky",,,,,1,"","weird; more up; unusual taste","",1,,1,,,,,,,,"dissociative, had the s'mores unexpected taste and smell","not overdose related",0,,,0,"03may2024",3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600633","Bend","Deschutes County","OR","Oregon","10oct2024","spatula","spatula","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","","",,,,,,,,,,,"","not overdose related",0,,,0,"25apr2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600636","Bend","Deschutes County","OR","Oregon","06jun2024","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals; dull; chunky",,,,,1,"dull","weaker; sedating; more down","weaker",,,,1,,,,,,,"","not overdose related",0,,,0,"09aug2024",2,2,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600642","Bend","Deschutes County","OR","Oregon","29feb2024","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"",0,"crystals; powder",,,1,,1,"","normal","normal",,,,,,,,,,,"participant experiences paranoia and wants things tested even when normal","not overdose related",0,,,0,"03may2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600644","Bend","Deschutes County","OR","Oregon","10apr2024","unknown","unknown","taken","M30",1,0,0,0,0,0,0,0,0,"blue",1,"pill",,1,,,,"","weaker; unusual taste","weaker",1,,,,,,,,,,"weird appearance","not overdose related",0,,,0,"09may2024",5,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"OR | DESCHUTES COUNTY",41,17,41017
"600645","Bend","Deschutes County","OR","Oregon","08feb2024","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals",,,,,1,"","weaker","weaker",,,,,,,,,,,"Inconsistent per use","not overdose related",0,,,0,"23feb2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
"600650","Bend","Deschutes County","OR","Oregon","06jun2024","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"crystals; dull; chunky",,,,,1,"dull","weaker; sedating; more down","weaker",,,,1,,,,,,,"","not overdose related",0,,,0,"09aug2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OR | DESCHUTES COUNTY",41,17,41017
